都道府縣,市町村名,名稱,地址,緯度,經度
東京都,江東區,都立清澄庭園,東京都江東区清澄2丁目;3丁目,35.68 ,139.80 
東京都,江東區,深川江戸資料館,東京都江東区白河1-3-28,35.68 ,139.80 
東京都,江東區,芭蕉記念館,東京都江東区常盤1-6-3,35.69 ,139.79 
東京都,江東區,東京都現代美術館,東京都江東区三好4-1-1,35.68 ,139.81 
東京都,江東區,中川船番所資料館,東京都江東区大島9-1-15,35.69 ,139.85 
東京都,江東區,日本科学未来館,東京都江東区青海2-3-6,35.62 ,139.78 
東京都,江東區,深川東京モダン館,東京都江東区門前仲町1-19-15,35.67 ,139.79 
東京都,江東區,亀戸梅屋敷,東京都江東区亀戸4-18-8,35.70 ,139.83 
東京都,江東區,豊洲市場,東京都江東区豊洲6-6-1,35.64 ,139.78 
東京都,江東區,明治丸,東京都江東区越中島2-1-6東京海洋大学内,35.67 ,139.79 
東京都,江東區,夢の島熱帯植物館,東京都江東区夢の島2-1-2,35.65 ,139.83 
東京都,江東區,東京都虹の下水道館,東京都江東区有明2-3-5有明水再生センター5階,35.63 ,139.78 
東京都,江東區,東京都立第五福竜丸展示館,東京都江東区夢の島2-1-1夢の島公園内,35.65 ,139.83 
東京都,江東區,東京都水の科学館,東京都江東区有明3-1-8,35.63 ,139.79 
東京都,江東區,東京臨海部広報展示室 TOKYO ミナトリエ,東京都江東区青海2-4-24青海フロンテイアビル20階,35.62 ,139.78 
東京都,江東區,東京ビッグサイト,東京都江東区有明3-11-1,35.63 ,139.79 
東京都,江東區,田河水泡・のらくろ館,東京都江東区森下3-12-17森下文化センター内,35.69 ,139.80 
東京都,江東區,石田波郷記念館,東京都江東区北砂5-1-7砂町文化センター内,35.68 ,139.83 
東京都,江東區,伊東深水と関根正二紹介展示コーナー,東京都江東区森下3-12-17森下文化センター内,35.69 ,139.80 
東京都,江東區,小津安二郎紹介展示コーナー,東京都江東区古石場2-13-2古石場文化センター内,35.67 ,139.80 
東京都,江東區,工匠館,東京都江東区森下3-12-17森下文化センター内,35.69 ,139.80 
東京都,江東區,旧大石家住宅,東京都江東区南砂5-24地先 仙台堀川公園内,35.67 ,139.83 
東京都,江東區,横綱大鵬顕彰コーナー,東京都江東区白河1-3-28深川江戸資料館内,35.68 ,139.80 
東京都,江東區,水素情報館 東京スイソミル,東京都江東区潮見1-3-2,35.66 ,139.81 
東京都,江東區,東京臨海広域防災公園 そなエリア東京,東京都江東区有明3-8-35,35.64 ,139.79 
