都道府縣,市町村名,名稱,所在地_連結表記,緯度,經度
東京都,練馬區,ねりま観光案内所,東京都練馬区練馬1-17-1 Coconeri3階,35.738248,139.65336
東京都,練馬區,石神井観光案内所,東京都練馬区石神井町3-23-8（エミオ石神井公園内）,35.743631,139.606268
東京都,練馬區,都立石神井公園,東京都練馬区石神井台1-26-1,35.738382,139.598103
東京都,練馬區,都立光が丘公園,東京都練馬区光が丘4-1-1,35.766383,139.629486
東京都,練馬區,牧野記念庭園,東京都練馬区東大泉6-34-4,35.746344,139.585551
東京都,練馬區,四季の香ローズガーデン,東京都練馬区光が丘5-2-6四季の香公園内,35.760772,139.625751
東京都,練馬區,土支田農業公園,東京都練馬区土支田3-34-26,35.760586,139.609566
東京都,練馬區,こどもの森,東京都練馬区羽沢2-32-7,35.748792,139.672507
東京都,練馬區,中里郷土の森,東京都練馬区大泉町1-51-2,35.769186,139.604088
東京都,練馬區,石神井松の風文化公園,東京都練馬区石神井台1-33-44,35.739351,139.594103
東京都,練馬區,都立城北中央公園,東京都練馬区氷川台1-3-1,35.75593,139.67404
東京都,練馬區,都立大泉中央公園,東京都大泉学園町9-4-3,35.775157,139.598236
東京都,練馬區,大泉交通公園,東京都練馬区南大泉6-16-1,35.753451,139.572246
東京都,練馬區,平成つつじ公園,東京都練馬区練馬1-17-6,35.738805,139.6535
東京都,練馬區,向山庭園,東京都練馬区向山3-1-21,35.742124,139.64673
東京都,練馬區,田柄梅林公園,東京都練馬区田柄5-5-2,35.755203,139.632582
東京都,練馬區,武蔵関公園,東京都練馬区関町北3-45-1,35.727666,139.567786
東京都,練馬區,石神井公園ふるさと文化館,東京都練馬区石神井町5-12-16,35.737444,139.599429
東京都,練馬區,石神井公園ふるさと文化館分室,東京都練馬区石神井台1-33-44石神井松の風文化公園管理棟内,35.739385,139.594178
東京都,練馬區,旧内田家住宅,東京都練馬区石神井町5-13区立池淵史跡公園内,35.737672,139.600303
東京都,練馬區,稲荷山図書館 昆虫コーナー,東京都練馬区大泉町1-3-18,35.76535,139.609184
東京都,練馬區,練馬区立美術館,東京都練馬区貫井1-36-16,35.737047,139.636048
東京都,練馬區,大泉学園ゆめりあホール,東京都練馬区東大泉1-29-1,35.75024,139.58571
東京都,練馬區,清水山の森,東京都練馬区大泉町1-6,35.765734,139.608193
東京都,練馬區,稲荷山憩いの森,東京都練馬区土支田4-14,35.765769,139.610399
東京都,練馬區,田柄川緑道,東京都練馬区北町2ほか,35.767329,139.662486
